incident_id,incident_date,incident_time,district,station,lat,longitude,crime_type,mo_tags,weapon_used,offender_id,victim_demographic,socio_economic_index,status,severity,fir_text,evidence_ids
INC-00001,2026-03-06,16:02:15,MANGALURU,Pandeshwar PS,12.860407068936988,74.83181662180304,FRAUD,"[""forgery"", ""registry"", ""land_grab""]",None,,Complainant 35yo Male,0.7466187945357342,RESOLVED,MEDIUM,"First Information Report: The complainant reports that on 2026-03-06 at 16:02:15, an incident of fraud occurred near Pandeshwar PS. Fake government documents land registry scam at Pandeshwar. Suspect entered using forgery, registry, land_grab.","[""EVID-001"", ""EVID-002""]"
INC-00002,2023-08-21,09:49:30,BENGALURU_CITY,Indiranagar PS,12.986738331080058,77.64988412484352,FRAUD,"[""forgery"", ""registry"", ""land_grab""]",None,,Complainant 35yo Male,0.6043953511378349,PENDING,MEDIUM,"First Information Report: The complainant reports that on 2023-08-21 at 09:49:30, an incident of fraud occurred near Indiranagar PS. Fake government documents land registry scam at Indiranagar. Suspect entered using forgery, registry, land_grab.","[""EVID-001"", ""EVID-002""]"
INC-00003,2026-04-02,12:21:48,BELAGAVI,Camp PS,15.829886499756633,74.49291104711898,CYBER,"[""phishing"", ""upi_fraud"", ""otp_swipe""]",None,,Complainant 35yo Male,0.8381771363366963,PENDING,HIGH,"First Information Report: The complainant reports that on 2026-04-02 at 12:21:48, an incident of cyber occurred near Camp PS. Phishing bank scam via SMS links at Camp. Suspect entered using phishing, upi_fraud, otp_swipe.","[""EVID-001"", ""EVID-002""]"
INC-00004,2025-08-04,06:16:09,MYSURU,Devaraja PS,12.311741541608166,76.64801374089664,ASSAULT,"[""brawl"", ""public"", ""weapons_altercation""]",None,OFF-003,Complainant 35yo Male,0.26593000416322743,INVESTIGATING,MEDIUM,"First Information Report: The complainant reports that on 2025-08-04 at 06:16:09, an incident of assault occurred near Devaraja PS. Street fight near local bus stop at Devaraja. Suspect entered using brawl, public, weapons_altercation.","[""EVID-001"", ""EVID-002""]"
INC-00005,2024-05-02,07:01:15,HUBBALLI_DHARWAD,Dharwad Suburban PS,15.457432022536812,75.00546411624696,ASSAULT,"[""assault"", ""personal_enmity"", ""house_trespass""]",None,,Complainant 35yo Male,0.8043631239587195,RESOLVED,HIGH,"First Information Report: The complainant reports that on 2024-05-02 at 07:01:15, an incident of assault occurred near Dharwad Suburban PS. Assault of victim over property dispute at Dharwad Suburban. Suspect entered using assault, personal_enmity, house_trespass.","[""EVID-001"", ""EVID-002""]"
INC-00006,2023-08-24,01:41:54,HUBBALLI_DHARWAD,Dharwad Suburban PS,15.45777416923197,75.02274628987739,DRUGS,"[""possession"", ""local_peddler"", ""cash_deal""]",None,,Complainant 35yo Male,0.7148945293146991,PENDING,HIGH,"First Information Report: The complainant reports that on 2023-08-24 at 01:41:54, an incident of drugs occurred near Dharwad Suburban PS. Retail drug trade near local bus stand at Dharwad Suburban. Suspect entered using possession, local_peddler, cash_deal.","[""EVID-001"", ""EVID-002""]"
INC-00007,2024-06-21,19:01:42,MANGALURU,Ullal PS,12.793485619723446,74.86216060984587,ASSAULT,"[""brawl"", ""public"", ""weapons_altercation""]",None,OFF-004,Complainant 35yo Male,0.517299012136336,INVESTIGATING,LOW,"First Information Report: The complainant reports that on 2024-06-21 at 19:01:42, an incident of assault occurred near Ullal PS. Street fight near local bus stop at Ullal. Suspect entered using brawl, public, weapons_altercation.","[""EVID-001"", ""EVID-002""]"
INC-00008,2025-08-04,09:28:58,MYSURU,Lashkar PS,12.317051076484773,76.64189173676468,FRAUD,"[""forgery"", ""registry"", ""land_grab""]",None,,Complainant 35yo Male,0.154280298365419,INVESTIGATING,HIGH,"First Information Report: The complainant reports that on 2025-08-04 at 09:28:58, an incident of fraud occurred near Lashkar PS. Fake government documents land registry scam at Lashkar. Suspect entered using forgery, registry, land_grab.","[""EVID-001"", ""EVID-002""]"
INC-00009,2024-09-27,19:29:46,BENGALURU_CITY,Whitefield PS,12.962325569691405,77.74372561926124,DRUGS,"[""possession"", ""local_peddler"", ""cash_deal""]",None,,Complainant 35yo Male,0.76687196103172,INVESTIGATING,HIGH,"First Information Report: The complainant reports that on 2024-09-27 at 19:29:46, an incident of drugs occurred near Whitefield PS. Retail drug trade near local bus stand at Whitefield. Suspect entered using possession, local_peddler, cash_deal.","[""EVID-001"", ""EVID-002""]"
INC-00010,2025-03-20,17:52:34,BENGALURU_CITY,Cubbon Park PS,12.969539783961888,77.58689473660966,CYBER,"[""job_fraud"", ""digital_payment"", ""remotely_auth""]",None,OFF-005,Complainant 35yo Male,0.8046678921036513,RESOLVED,HIGH,"First Information Report: The complainant reports that on 2025-03-20 at 17:52:34, an incident of cyber occurred near Cubbon Park PS. WhatsApp fake subsidy job offer scheme at Cubbon Park. Suspect entered using job_fraud, digital_payment, remotely_auth.","[""EVID-001"", ""EVID-002""]"
INC-00011,2025-09-30,08:44:22,HUBBALLI_DHARWAD,Hubballi Town PS,15.360949289312357,75.13339476856146,CYBER,"[""phishing"", ""upi_fraud"", ""otp_swipe""]",None,,Complainant 35yo Male,0.5196056326745948,RESOLVED,LOW,"First Information Report: The complainant reports that on 2025-09-30 at 08:44:22, an incident of cyber occurred near Hubballi Town PS. Phishing bank scam via SMS links at Hubballi Town. Suspect entered using phishing, upi_fraud, otp_swipe.","[""EVID-001"", ""EVID-002""]"
